method,time_S_BA,time_nDTW,freq_MSC_mean,freq_Delta_f_peak_Hz,nl_XSampEn,nl_PLV,BA_bias,BA_sd,BA_loa_width,S_time,S_freq,S_nl,TDSI,mm_z_mean,mm_z_std,ecg_z_mean,ecg_z_std,f0_Hz,file_index,mmwave_file,ecg_file
NLMS,0.6272711663454005,0.26724523208476686,0.38432281915240085,0.17359375,1.6523853062666685,0.07234385570068051,-3.9948054859076094e-18,1.368288120121417,5.363689430875954,0.6963782466143238,0.2802788608731862,0.22468149273847057,0.40044620007532683,2.6632036572717397e-18,1.0,-1.0652814629086959e-17,1.0,1.5189453124999999,8,008.csv,008.csv
帶通+小波,0.6179564873574788,0.2626400912376897,0.2921862664838528,0.17359375,1.5941943982605205,0.0982008187996008,6.6580091431793495e-18,1.4442922931697797,5.661625789225536,0.6934875557043192,0.23421058453891222,0.24183847110221712,0.38984553711514947,0.0,1.0000000000000002,-1.0652814629086959e-17,1.0,1.5189453124999999,8,008.csv,008.csv
帶通+小波+NLMS,0.6346195272263984,0.27345119553502384,0.6889562329589003,0.17359375,1.6535138663408055,0.23117576692816813,3.062684205862501e-17,1.3121556157578527,5.143650013770783,0.6976844953234075,0.43259556777643593,0.30401727376891025,0.47809911228958457,-1.0652814629086959e-17,1.0,-1.0652814629086959e-17,1.0,1.5189453124999999,8,008.csv,008.csv
原始波形,0.6265854965298072,0.2725285153323057,0.2675619980690075,0.13019531250000016,1.4929100379664486,0.15556779597325116,-1.7976624686584242e-17,1.373690156650702,5.3848654140707515,0.6940186061733604,0.26978101095981905,0.27835270808611356,0.41405077507309773,1.5979221943630438e-17,1.0,1.3316018286358699e-18,1.0000000000000002,1.4321484375,9,009.csv,009.csv
帶通,0.6299943518652463,0.26579788517981867,0.26530595882389624,0.13019531250000016,1.4317875677743517,0.15624133700687687,7.989610971815219e-18,1.347117096100879,5.280699016715445,0.6982942018642138,0.2686529913372634,0.2837307335543161,0.41689264225193107,-7.989610971815219e-18,1.0,1.3316018286358699e-18,1.0000000000000002,1.4321484375,9,009.csv,009.csv
小波去噪,0.6201909454929961,0.30301670947391274,0.27378510856128707,0.0867968750000001,1.6312127621275043,0.04893699290954721,0.0,1.4255264078356684,5.5880635187158205,0.6793888501821281,0.3467942590104832,0.21449493870861777,0.4135593493004097,5.3264073145434795e-18,1.0,1.3316018286358699e-18,1.0000000000000002,1.4321484375,9,009.csv,009.csv
NLMS,0.6177753445108989,0.2759323096639355,0.2908087505964942,0.04339843750000005,1.4972538000692757,0.1471293187608528,9.32121280045109e-18,1.445829148678838,5.667650262821045,0.6883198206564531,0.46936556489496384,0.27378459697192375,0.4771566608411135,1.3316018286358699e-18,1.0,1.3316018286358699e-18,1.0000000000000002,1.4321484375,9,009.csv,009.csv
帶通+小波,0.6279037328742898,0.27214512667172713,0.28434264200195636,0.13019531250000016,1.453686434886681,0.1625845753874305,-2.396883291544566e-17,1.3633302043814355,5.344254401175227,0.6948237183067392,0.2781713329262935,0.2850673067389225,0.4193541193239851,-3.9948054859076094e-18,1.0,1.3316018286358699e-18,1.0000000000000002,1.4321484375,9,009.csv,009.csv
帶通+小波+NLMS,0.6227842813867259,0.2598593094274831,0.5454377622502191,0.08679687499999988,1.472292783694615,0.1007207143488969,9.32121280045109e-18,1.4041790926388307,5.504382043144216,0.6969721772553659,0.4826205858549497,0.2526017758679075,0.47739817965940773,4.660606400225545e-18,0.9999999999999999,1.3316018286358699e-18,1.0000000000000002,1.4321484375,9,009.csv,009.csv
原始波形,0.620990804493762,0.28783189951884974,0.34521608574801277,0.21699218750000004,1.4588115313956584,0.19627695186042446,3.495454800169158e-18,1.4188935516326089,5.562062722399827,0.6854392213055481,0.22970131156681095,0.3014887504899677,0.4055430944541089,-2.6632036572717397e-18,1.0,-2.6632036572717397e-18,1.0,1.56234375,10,010.csv,010.csv
帶通,0.6237714484858818,0.2480654288078808,0.3295516849917694,0.21699218750000004,1.1972916565759406,0.19337082539521108,2.3303032001127724e-18,1.396171390893723,5.4729918523033945,0.702040167706703,0.22186911118868924,0.3242382723753938,0.4160491837569287,-1.3316018286358699e-17,1.0,-2.6632036572717397e-18,1.0,1.56234375,10,010.csv,010.csv
小波去噪,0.6169737343849617,0.24388946141518603,0.3232929632352348,0.30378906249999993,1.0672638028855232,0.2864847264458309,-1.1651516000563861e-17,1.4526586812628592,5.694422030550408,0.7002739895244712,0.1856144304720544,0.3851079632020237,0.423665461066183,-2.6632036572717398e-17,1.0,-2.6632036572717397e-18,1.0,1.56234375,10,010.csv,010.csv
NLMS,0.6244892122316408,0.2825803062763572,0.345975806295688,0.04339843750000005,1.1445243707516786,0.21580985585406748,-1.5979221943630438e-17,1.3903890350134898,5.450325017252879,0.6891626569948996,0.4969490927445607,0.3410568598049376,0.509056203181466,8.655411886133154e-18,1.0,-2.6632036572717397e-18,1.0,1.56234375,10,010.csv,010.csv
帶通+小波,0.6246650575084272,0.2492016937088909,0.28222124653886266,0.21699218750000004,1.139738864801019,0.17663393065571018,1.2317316914881797e-17,1.3889774974454874,5.4447917899863105,0.7020439051863232,0.19820389196223587,0.3219903393199177,0.407412712156159,-1.0652814629086959e-17,0.9999999999999999,-2.6632036572717397e-18,1.0,1.56234375,10,010.csv,010.csv
帶通+小波+NLMS,0.627397047168983,0.2558466827383453,0.6932700274960591,0.04339843750000005,1.0513175883416503,0.06911193259482329,-7.989610971815219e-18,1.3672995331902305,5.359814170105703,0.7008288571935224,0.6705962033447463,0.2783017435684074,0.5499089347022253,1.997402742953805e-17,1.0,-2.6632036572717397e-18,1.0,1.56234375,10,010.csv,010.csv
原始波形,0.6266630399856687,0.27141989623455665,0.20410782763675478,0.13019531250000016,1.4123306951303378,0.1961115464489803,-1.7643724229425275e-17,1.373077766471854,5.382464844569668,0.6944796919078086,0.2380539257436927,0.3053242049570578,0.412619274202853,1.5979221943630438e-17,1.0,-2.6632036572717397e-18,1.0,1.475546875,11,011.csv,011.csv
帶通,0.628764288098742,0.26545400005196057,0.20526319931718523,0.13019531250000016,1.4136556136935152,0.19520538250002556,-2.396883291544566e-17,1.3566245895114648,5.317968390884942,0.6978110027941045,0.23863161158390792,0.3047573479306612,0.4137333207695579,-1.3316018286358699e-17,1.0,-2.6632036572717397e-18,1.0,1.475546875,11,011.csv,011.csv
小波去噪,0.6242003918113108,0.23577045819640208,0.23491596130061188,0.13019531249999994,1.4855615839620568,0.16085682238948462,5.659307771702447e-18,1.3927117742473476,5.459430155049603,0.7070811871162987,0.2534579925756215,0.28159019420032994,0.4140431246307501,-1.9974027429538047e-18,1.0,-2.6632036572717397e-18,1.0,1.475546875,11,011.csv,011.csv
NLMS,0.6152357718738343,0.2527390822227034,0.2532353360122812,0.13019531250000016,1.4009024835941566,0.07623022500130529,-2.6632036572717398e-17,1.4676278786235322,5.753101284204246,0.6959531372019812,0.2626176799314559,0.2463701346919325,0.4016469839417898,-6.325108686020382e-18,1.0,-2.6632036572717397e-18,1.0,1.475546875,11,011.csv,011.csv
帶通+小波,0.628457153284354,0.2619238288983046,0.2526801098080704,0.13019531250000016,1.4258202779990263,0.12243487041457246,-2.6632036572717398e-17,1.3590126871653967,5.327329733688355,0.6990133968633974,0.2623400668293505,0.26733328168393966,0.4095622484588959,-1.3648918743517666e-17,1.0000000000000002,-2.6632036572717397e-18,1.0,1.475546875,11,011.csv,011.csv
